Company,TypeName,Ram,Memory,Gpu,OpSys,Weight,Price,Tochscreen,IPS,CPU,HDD,SSD,PPI
Apple,Ultrabook,8,512 SSD,Intel,Mac OS,1.37,179336,0,1,Intel Core i5,0,512,226.98
Dell,2 in 1 Convertible,8,1000 HDD,Intel,Windows 10,2.08,71998,1,1,Intel Core i7,1000,0,141.21
Asus,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,4.3,158150,0,0,Intel Core i7,1000,256,127.34
Asus,Notebook,4,1000 HDD,AMD,Windows 10,1.68,41229,0,0,AMD A Series,1000,0,100.45
Lenovo,2 in 1 Convertible,8,512 SSD,Intel,Windows 10,1.37,162545,1,1,Intel Core i7,0,512,158.48
Acer,Notebook,4,256 SSD,Nvidia,Windows 10,3.0,61712,0,1,Intel Core i3,0,256,127.34
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.41,83426,0,0,Intel Core i5,0,256,165.63
HP,Notebook,8,128 SSD,AMD,Windows 10,1.91,39199,0,0,AMD A Series,0,128,100.45
HP,Notebook,16,1000 HDD,Nvidia,Windows 10,2.9,93096,0,1,Intel Core i7,1000,0,127.34
MSI,Gaming,16,512 SSD +  1000 HDD,Nvidia,Windows 10,4.14,219687,0,0,Intel Core i7,1000,512,127.34
Lenovo,2 in 1 Convertible,8,512 SSD,Nvidia,Windows 10,2.0,149359,1,1,Intel Core i7,0,512,141.21
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,2.8,100393,0,0,Intel Core i7,1000,128,127.34
Lenovo,Notebook,4,256 SSD,Intel,No OS,2.2,39032,0,0,Intel Core i3,0,256,141.21
HP,Notebook,4,500 HDD,Intel,Windows 10,2.1,63471,0,1,Intel Core i5,500,0,141.21
Dell,Notebook,4,1000 HDD,Intel,Windows 10,2.18,57756,0,0,Intel Core i5,1000,0,141.21
Dell,Notebook,8,1000 HDD,AMD,Windows 10,2.24,49669,0,0,Intel Core i5,1000,0,141.21
Dell,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,2.67,70240,1,0,Intel Core i5,0,256,141.21
Asus,2 in 1 Convertible,8,512 SSD +  512 SSD,Intel,Windows 10,1.1,131777,1,0,Intel Core i7,0,1024,165.63
Lenovo,Notebook,4,1000 HDD,Intel,No OS,2.2,41053,0,0,Intel Core i5,1000,0,141.21
HP,Notebook,8,1000 HDD,Nvidia,Windows 10,2.5,89492,0,0,Intel Core i7,1000,0,127.34
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,2.05,77360,0,0,Intel Core i7,0,256,141.21
Apple,Ultrabook,8,512 SSD,Intel,Mac OS,1.37,172206,0,1,Intel Core i5,0,512,226.98
Asus,Gaming,16,256 SSD +  1000 HDD,AMD,Windows 10,3.2,136172,0,0,AMD Ryzen Series,1000,256,127.34
Dell,Notebook,8,256 SSD,AMD,Linux/Android/Chrome OS,2.14,64620,0,0,Intel Core i7,0,256,141.21
Lenovo,2 in 1 Convertible,16,512 SSD,Intel,Windows 10,1.36,219687,1,0,Intel Core i7,0,512,209.8
Toshiba,Notebook,8,500 HDD,Nvidia,Windows 10,2.2,71382,0,0,Intel Core i7,500,0,100.45
Dell,Notebook,12,1000 HDD,Intel,Windows 10,2.3,62685,0,0,Intel Core i7,1000,0,100.45
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Linux/Android/Chrome OS,2.8,96613,0,0,Intel Core i7,1000,128,127.34
Acer,Notebook,8,1000 HDD,Nvidia,Windows 10,2.2,65492,0,1,Intel Core i7,1000,0,141.21
Lenovo,Notebook,4,1000 HDD,Intel,Windows 10,2.8,42987,0,0,Intel Core i3,1000,0,106.11
Lenovo,Notebook,8,2000 HDD,Nvidia,No OS,2.8,74635,0,0,Intel Core i7,2000,0,127.34
Lenovo,Notebook,6,128 SSD +  1000 HDD,Nvidia,Windows 10,2.8,75514,0,0,Intel Core i7,1000,128,106.11
Dell,Notebook,4,1000 HDD,AMD,Linux/Android/Chrome OS,2.25,37625,0,0,Intel Core i3,1000,0,141.21
Lenovo,Gaming,8,256 SSD,Nvidia,Windows 10,2.5,72877,0,1,Intel Core i5,0,256,141.21
Lenovo,Notebook,6,256 SSD,Intel,Windows 10,2.2,50899,0,0,Intel Core i5,0,256,141.21
Acer,Notebook,8,256 SSD,Nvidia,Windows 10,3.0,83602,0,1,Intel Core i7,0,256,141.21
Acer,Notebook,12,1000 HDD,Intel,Windows 10,2.15,57932,1,1,Intel Core i7,1000,0,141.21
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.95,96437,0,1,Intel Core i7,0,256,141.21
Asus,Ultrabook,8,256 SSD,Nvidia,Windows 10,1.7,85888,0,0,Intel Core i5,0,256,141.21
Lenovo,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.5,103645,0,1,Intel Core i7,1000,256,141.21
Lenovo,Notebook,8,1000 HDD,Nvidia,No OS,2.2,57933,0,0,Intel Core i7,1000,0,141.21
Acer,Notebook,2,16 SSD,Intel,Linux/Android/Chrome OS,2.19,17494,0,0,Intel Celeron,0,16,100.45
Asus,Gaming,8,1000 HDD,Nvidia,Windows 10,3.0,104349,0,0,Intel Core i7,1000,0,127.34
HP,Notebook,8,1000 HDD,Intel,Windows 10,2.54,42987,0,0,Intel Core i3,1000,0,106.11
Dell,Notebook,8,256 SSD,Nvidia,Windows 10,2.0,160787,0,0,Intel Core i7,0,256,141.21
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,2.05,64965,0,0,Intel Core i5,0,256,141.21
Lenovo,Gaming,8,1000 HDD,Nvidia,Windows 10,3.2,114195,0,1,Intel Core i7,1000,0,141.21
Acer,Notebook,8,256 SSD,Nvidia,Linux/Android/Chrome OS,2.5,86063,0,0,Intel Core i7,0,256,141.21
Dell,Workstation,16,256 SSD,Nvidia,Windows 10,3.42,253608,0,0,Intel Core i7,0,256,127.34
Lenovo,Notebook,6,1000 HDD,AMD,Windows 10,2.4,43867,0,0,AMD A Series,1000,0,141.21
Asus,Ultrabook,16,512 SSD,Nvidia,Windows 10,1.63,129051,0,0,Intel Core i7,0,512,141.21
Asus,Notebook,4,128 SSD,Intel,Windows 10,1.3,44746,0,0,Intel Core i3,0,128,111.94
Asus,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.9,186545,0,0,Intel Core i7,1000,256,127.34
Lenovo,Notebook,6,1000 HDD,Nvidia,Windows 10,2.8,57053,0,0,Intel Core i5,1000,0,106.11
Lenovo,Notebook,8,2000 HDD,Nvidia,No OS,2.2,48262,0,0,Intel Core i5,2000,0,100.45
Asus,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.5,111206,0,0,Intel Core i7,1000,128,141.21
Lenovo,Notebook,4,1000 HDD,Intel,No OS,2.2,31646,0,0,Intel Pentium,1000,0,100.45
HP,2 in 1 Convertible,16,256 SSD,Intel,Windows 10,1.28,173622,1,0,Intel Core i7,0,256,165.63
Toshiba,Notebook,8,256 SSD,Nvidia,Windows 10,2.2,91690,0,1,Intel Core i7,0,256,141.21
Lenovo,Notebook,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.3,71998,0,0,Intel Core i5,1000,128,141.21
HP,Notebook,4,1000 HDD,Intel,Windows 10,1.86,41229,0,0,Intel Core i3,1000,0,141.21
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.1,87822,0,1,Intel Core i5,0,256,165.63
Dell,Ultrabook,16,1000 SSD,Intel,Windows 10,1.21,219687,1,1,Intel Core i7,0,1000,331.26
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.8,184523,0,1,Intel Core i7,1000,256,141.21
Acer,Notebook,8,256 SSD,AMD,Windows 10,2.23,41229,0,0,AMD A Series,0,256,141.21
Asus,2 in 1 Convertible,2,32 Flash Storage,Intel,Windows 10,1.1,24175,1,0,Intel Celeron,0,0,135.09
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,2.33,74196,0,0,Intel Core i5,1000,128,141.21
HP,2 in 1 Convertible,16,1000 SSD,Intel,Windows 10,1.29,215291,1,1,Intel Core i7,0,1000,331.26
Lenovo,Notebook,4,16 Flash Storage,Intel,Linux/Android/Chrome OS,1.45,40429,0,0,Intel Celeron,0,0,117.83
HP,Notebook,8,256 SSD,Intel,Windows 10,1.95,86151,0,0,Intel Core i5,0,256,157.35
Acer,Notebook,4,128 Flash Storage,Intel,Windows 10,1.4,42636,0,0,Intel Pentium,0,0,135.09
HP,Notebook,8,256 SSD,Intel,Windows 10,1.48,113579,0,0,Intel Core i7,0,256,157.35
Lenovo,Notebook,4,1000 HDD,Nvidia,Windows 10,2.79,51778,0,0,Intel Core i5,1000,0,106.11
Asus,Notebook,8,256 SSD,Intel,Windows 10,2.0,96173,0,0,Intel Core i7,0,256,157.35
HP,Notebook,8,1000 HDD,Intel,Windows 10,2.1,79294,0,1,Intel Core i7,1000,0,100.45
Acer,Notebook,8,256 SSD,AMD,Windows 10,2.2,57932,0,0,AMD A Series,0,256,100.45
Lenovo,Notebook,4,32 Flash Storage,Intel,Windows 10,1.44,25669,0,0,Intel Celeron,0,0,111.94
Acer,Notebook,6,1000 HDD,Intel,Windows 10,2.23,48262,0,0,Intel Core i5,1000,0,100.45
Asus,Ultrabook,8,256 SSD,Nvidia,Windows 10,1.7,92296,0,0,Intel Core i7,0,256,141.21
HP,Ultrabook,8,256 SSD,Intel,Windows 10,1.26,117359,0,0,Intel Core i7,0,256,176.23
Dell,Notebook,32,1000 SSD,Nvidia,Windows 10,2.06,231994,1,0,Intel Core i7,0,1000,282.42
MSI,Gaming,8,256 SSD +  1000 HDD,Nvidia,Windows 10,2.7,105404,0,0,Intel Core i7,1000,256,127.34
Toshiba,Notebook,8,256 SSD,Intel,Windows 10,2.0,82899,0,1,Intel Core i5,0,256,141.21
Asus,Notebook,8,256 SSD +  1000 HDD,Intel,Windows 10,2.0,117271,0,0,Intel Core i7,1000,256,157.35
Lenovo,Notebook,4,1000 HDD,Intel,Windows 10,1.85,39471,0,0,Intel Core i3,1000,0,141.21
Asus,Gaming,8,256 SSD,Nvidia,Windows 10,2.5,87822,0,0,Intel Core i7,0,256,141.21
HP,Notebook,8,256 SSD,Intel,Windows 10,1.48,111469,0,0,Intel Core i5,0,256,157.35
Dell,Ultrabook,8,128 SSD +  1000 HDD,Nvidia,Windows 10,1.9,92217,0,1,Intel Core i5,1000,128,141.21
HP,Notebook,8,256 SSD,Intel,Windows 10,1.84,100569,0,0,Intel Core i5,0,256,141.21
Asus,Notebook,4,1000 HDD,Intel,Linux/Android/Chrome OS,2.0,24174,0,0,Intel Celeron,1000,0,100.45
Dell,Notebook,8,256 SSD,Nvidia,Windows 10,2.0,100459,0,0,Intel Core i5,0,256,141.21
Dell,Notebook,4,500 HDD,Intel,Linux/Android/Chrome OS,2.2,24166,0,0,Intel Celeron,500,0,100.45
Lenovo,Notebook,12,2000 HDD,AMD,Windows 10,2.2,79031,0,0,AMD A Series,2000,0,141.21
HP,Notebook,8,1000 HDD,Nvidia,Windows 10,2.1,62943,0,1,Intel Core i3,1000,0,141.21
Lenovo,2 in 1 Convertible,16,512 SSD,Intel,Windows 10,1.4,184523,1,1,Intel Core i7,0,512,316.97
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.2,138809,0,0,Intel Core i7,0,256,165.63
Lenovo,Gaming,16,256 SSD +  2000 HDD,Nvidia,Windows 10,2.4,99250,0,1,Intel Core i7,2000,256,141.21
HP,Notebook,2,32 Flash Storage,Intel,Windows 10,1.44,24526,0,0,Intel Celeron,0,0,111.94
Dell,Ultrabook,16,512 SSD +  256 SSD,Intel,Windows 10,1.88,141355,0,0,Intel Core i7,0,768,141.21
Asus,2 in 1 Convertible,4,32 Flash Storage,Intel,Windows 10,1.5,32966,1,0,Intel Celeron,0,0,135.09
Dell,Ultrabook,8,1000 HDD,AMD,Windows 10,1.9,58284,0,0,Intel Core i5,1000,0,141.21
Dell,Notebook,16,512 SSD,Nvidia,Windows 10,2.06,178230,1,0,Intel Core i7,0,512,282.42
HP,Notebook,8,256 SSD,Intel,Windows 10,1.84,114634,0,0,Intel Core i7,0,256,141.21
MSI,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.7,123865,0,0,Intel Core i7,1000,128,127.34
HP,Workstation,8,256 SSD,Nvidia,Windows 10,2.6,152811,0,0,Intel Core i7,0,256,141.21
Toshiba,Notebook,16,512 SSD,Nvidia,Windows 10,2.4,123337,0,1,Intel Core i7,0,512,141.21
Dell,Notebook,8,128 SSD +  2000 HDD,AMD,Windows 10,2.02,85351,0,0,Intel Core i7,2000,128,141.21
Lenovo,Notebook,4,1000 HDD,Intel,No OS,2.2,28306,0,0,Intel Celeron,1000,0,100.45
Dell,Gaming,8,1000 HDD,Nvidia,Windows 10,2.65,87822,0,0,Intel Core i5,1000,0,141.21
Dell,Notebook,8,2000 HDD,Intel,Windows 10,2.36,48998,1,0,Intel Core i5,2000,0,100.45
Dell,Notebook,8,256 SSD,Intel,Windows 10,1.36,125447,0,0,Intel Core i5,0,256,157.35
HP,Notebook,4,500 HDD,Intel,Windows 10,1.86,38592,0,0,Intel Core i3,500,0,100.45
Asus,Notebook,8,256 SSD,Intel,Windows 10,2.0,83074,0,0,Intel Core i5,0,256,157.35
Lenovo,Notebook,6,128 SSD +  1000 HDD,Nvidia,Windows 10,2.8,63207,0,0,Intel Core i5,1000,128,106.11
HP,Notebook,8,1000 HDD,Intel,Windows 10,1.86,56174,0,0,Intel Core i5,1000,0,141.21
Lenovo,Notebook,8,256 SSD,Nvidia,No OS,2.2,43867,0,0,Intel Core i3,0,256,100.45
HP,Notebook,8,2000 HDD,Intel,Windows 10,2.04,34196,0,0,Intel Pentium,2000,0,100.45
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,2.8,95382,0,0,Intel Core i5,1000,128,127.34
Lenovo,Gaming,8,128 SSD +  1000 HDD,Nvidia,No OS,2.4,71119,0,1,Intel Core i5,1000,128,141.21
Dell,Notebook,8,256 SSD,AMD,Windows 10,2.33,79031,0,0,Intel Core i7,0,256,141.21
HP,Ultrabook,8,256 SSD,Intel,Windows 10,1.36,153842,0,1,Intel Core i7,0,256,157.35
Asus,2 in 1 Convertible,12,512 SSD +  2000 HDD,Nvidia,Windows 10,2.26,96613,1,0,Intel Core i7,2000,512,141.21
Acer,Notebook,4,128 SSD,AMD,Windows 10,2.1,37449,0,0,AMD A Series,0,128,100.45
Asus,Gaming,16,256 SSD +  1000 HDD,AMD,Windows 10,3.25,193314,0,1,AMD Ryzen Series,1000,256,127.34
Lenovo,Notebook,4,128 SSD,AMD,Windows 10,2.6,42987,0,0,AMD A Series,0,128,106.11
Dell,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.62,76394,1,0,Intel Core i7,0,256,165.63
HP,Notebook,4,256 SSD,AMD,Windows 10,1.91,42987,0,0,AMD A Series,0,256,141.21
Lenovo,Netbook,4,128 SSD,Intel,Windows 10,1.59,48614,0,1,Intel Celeron,0,128,135.09
Dell,Notebook,4,500 HDD,Intel,Windows 10,1.8,27164,0,0,Intel Celeron,500,0,100.45
Asus,Notebook,4,32 Flash Storage,Intel,Windows 10,1.5,25142,0,0,Intel Celeron,0,0,111.94
Acer,Notebook,8,1000 HDD,Nvidia,Linux/Android/Chrome OS,2.4,74371,0,0,Intel Core i7,1000,0,141.21
HP,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,3.35,104700,0,1,Intel Core i7,1000,128,127.34
Lenovo,Notebook,4,128 SSD,Intel,No OS,1.85,35471,0,0,Intel Core i3,0,128,141.21
Asus,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.3,145491,0,1,Intel Core i7,1000,128,141.21
Lenovo,Notebook,8,256 SSD,Nvidia,Windows 10,1.5,96613,0,1,Intel Core i5,0,256,157.35
Asus,Ultrabook,16,512 SSD,Intel,Windows 10,1.1,153745,1,0,Intel Core i7,0,512,165.63
Lenovo,Ultrabook,8,512 SSD,Intel,Windows 10,1.13,200610,0,1,Intel Core i7,0,512,209.8
Lenovo,Notebook,4,128 SSD,Intel,Windows 10,1.5,48262,0,1,Intel Core i3,0,128,165.63
Dell,Workstation,8,500 HDD,AMD,Windows 10,2.23,120348,0,0,Intel Core i5,500,0,141.21
Dell,Workstation,8,256 SSD,Nvidia,Windows 10,2.0,187687,0,1,Intel Core i7,0,256,141.21
Lenovo,2 in 1 Convertible,16,512 SSD,Intel,Windows 10,1.42,220566,1,0,Intel Core i7,0,512,209.8
Asus,Gaming,8,1000 HDD,Nvidia,Windows 10,3.0,91338,0,0,Intel Core i7,1000,0,127.34
Asus,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,3.0,139864,0,0,Intel Core i7,1000,256,127.34
Acer,Notebook,12,1000 HDD,Nvidia,Windows 10,2.2,61008,0,1,Intel Core i5,1000,0,100.45
MSI,Gaming,8,256 SSD,Nvidia,Windows 10,2.7,118590,0,0,Intel Core i7,0,256,127.34
Dell,Notebook,8,256 SSD,AMD,Linux/Android/Chrome OS,2.33,68470,0,0,Intel Core i7,0,256,141.21
HP,Ultrabook,4,256 SSD,AMD,Windows 10,1.91,43867,0,0,AMD A Series,0,256,141.21
Lenovo,Notebook,8,256 SSD,AMD,Windows 10,2.1,108090,0,1,Intel Core i7,0,256,141.21
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.9,82459,0,1,Intel Core i5,0,256,157.35
Dell,Workstation,8,256 SSD,Nvidia,Windows 10,1.78,238411,1,0,Intel Core i7,0,256,282.42
Lenovo,Ultrabook,16,1000 SSD,Intel,Windows 10,1.13,230763,0,1,Intel Core i7,0,1000,209.8
Lenovo,Notebook,4,1000 HDD,Intel,Windows 10,2.2,26900,0,0,Intel Celeron,1000,0,100.45
Asus,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.9,134414,0,0,Intel Core i7,1000,256,127.34
Lenovo,Notebook,8,256 SSD +  1000 HDD,AMD,Windows 10,2.1,100613,0,1,Intel Core i5,1000,256,141.21
Acer,Notebook,8,256 SSD,Nvidia,Linux/Android/Chrome OS,2.5,77272,0,0,Intel Core i7,0,256,141.21
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.8,197709,0,0,Intel Core i7,1000,256,127.34
Asus,Ultrabook,8,512 SSD,Intel,Windows 10,1.1,164655,0,0,Intel Core i7,0,512,157.35
Toshiba,Ultrabook,16,512 SSD,Intel,Windows 10,1.2,153578,0,0,Intel Core i7,0,512,165.63
Dell,Ultrabook,8,512 SSD,Intel,Windows 10,1.36,147688,0,0,Intel Core i7,0,512,157.35
Lenovo,Notebook,4,500 HDD,Intel,Windows 10,2.2,35955,0,0,Intel Core i3,500,0,141.21
Lenovo,Notebook,2,32 Flash Storage,Intel,Windows 10,1.15,26764,0,0,Intel Celeron,0,0,135.09
Lenovo,Workstation,8,512 SSD,Nvidia,Windows 10,2.67,169226,0,0,Intel Core i7,0,512,141.21
Lenovo,Ultrabook,8,512 SSD,Nvidia,Windows 10,1.7,170809,0,1,Intel Core i7,0,512,209.8
HP,Notebook,4,1000 HDD,AMD,Windows 10,2.1,41229,0,0,Intel Core i3,1000,0,141.21
Acer,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.6,69361,1,1,Intel Core i7,0,256,165.63
Asus,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.27,81580,1,1,Intel Core i5,0,256,165.63
Dell,Notebook,4,256 SSD,AMD,Linux/Android/Chrome OS,2.3,52649,0,0,Intel Core i5,0,256,141.21
Dell,Notebook,4,128 SSD,Intel,Windows 10,1.65,60569,0,0,Intel Core i3,0,128,117.83
HP,Ultrabook,8,256 SSD,Intel,Windows 10,1.43,131865,0,0,Intel Core i7,0,256,157.35
Dell,Notebook,8,1000 HDD,Intel,Windows 10,2.14,47467,0,0,Intel Core i5,1000,0,100.45
Lenovo,Ultrabook,8,256 SSD,AMD,Windows 10,1.75,106844,0,1,Intel Core i7,0,256,157.35
Lenovo,2 in 1 Convertible,16,512 SSD,Nvidia,Windows 10,2.0,166941,1,1,Intel Core i7,0,512,282.42
HP,Notebook,8,256 SSD,Intel,Windows 10,2.31,125447,0,0,Intel Core i7,0,256,141.21
Asus,Notebook,8,1000 HDD,Nvidia,Linux/Android/Chrome OS,2.3,52482,0,0,Intel Core i3,1000,0,141.21
Dell,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,4.42,246060,0,1,Intel Core i7,1000,256,169.78
Dell,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.62,101887,0,1,Intel Core i7,1000,128,141.21
Dell,Notebook,8,256 SSD +  2000 HDD,AMD,Windows 10,2.02,100428,0,0,Intel Core i7,2000,256,141.21
Dell,Ultrabook,8,256 SSD,Intel,Linux/Android/Chrome OS,1.6,96613,0,0,Intel Core i7,0,256,157.35
HP,Gaming,12,256 SSD +  1000 HDD,Nvidia,Windows 10,3.35,175732,0,0,Intel Core i7,1000,256,127.34
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.4,88789,0,1,Intel Core i7,0,256,165.63
Lenovo,Notebook,4,128 SSD,Intel,Windows 10,1.7,52658,0,1,Intel Core i3,0,128,157.35
Lenovo,Workstation,16,512 SSD,Nvidia,Windows 10,2.3,214939,0,1,Intel Core i7,0,512,282.42
Lenovo,Notebook,16,512 SSD,Nvidia,Windows 10,2.5,215291,0,0,Intel Core i7,0,512,141.21
Asus,Gaming,8,256 SSD +  1000 HDD,AMD,Windows 10,3.2,149007,0,0,AMD Ryzen Series,1000,256,127.34
HP,Notebook,4,500 HDD,Intel,Windows 10,2.1,30504,0,0,Intel Celeron,500,0,100.45
Lenovo,Ultrabook,24,512 SSD,Intel,Windows 10,1.32,209401,0,0,Intel Core i7,0,512,209.8
Asus,Notebook,4,256 SSD,Intel,Linux/Android/Chrome OS,2.0,49141,0,0,Intel Core i5,0,256,141.21
Lenovo,Notebook,8,1000 HDD,AMD,Windows 10,2.8,45625,0,0,AMD A Series,1000,0,106.11
Dell,Notebook,4,256 SSD,AMD,Windows 10,2.2,65844,0,0,Intel Core i5,0,256,141.21
Lenovo,Ultrabook,8,256 SSD,Intel,Windows 10,1.36,125623,0,1,Intel Core i5,0,256,176.23
Lenovo,Notebook,4,128 SSD,Intel,Windows 10,2.2,30680,0,0,Intel Pentium,0,128,141.21
HP,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.2,96613,0,1,Intel Core i7,1000,128,141.21
Dell,Notebook,8,256 SSD,Nvidia,Windows 10,1.64,103645,0,0,Intel Core i5,0,256,157.35
Acer,Notebook,4,500 HDD,Intel,Linux/Android/Chrome OS,2.4,38838,0,0,Intel Core i5,500,0,100.45
Dell,Workstation,8,64 Flash Storage +  1000 HDD,Nvidia,Windows 10,2.23,175204,0,0,Intel Xeon,1000,0,141.21
MSI,Gaming,8,256 SSD,Nvidia,Windows 10,2.2,90348,0,0,Intel Core i5,0,256,141.21
HP,Notebook,8,128 SSD,Intel,Windows 10,1.91,51778,0,0,Intel Core i5,0,128,100.45
Dell,Workstation,16,256 SSD,Nvidia,Windows 10,2.17,173622,0,1,Intel Core i7,0,256,141.21
HP,Workstation,8,512 SSD,Intel,Windows 10,2.31,134853,0,1,Intel Core i7,0,512,141.21
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.65,118238,0,0,Intel Core i5,0,256,157.35
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,2.36,86063,0,0,Intel Core i7,1000,128,141.21
Dell,2 in 1 Convertible,4,500 HDD,Intel,Windows 10,1.47,42108,1,0,Intel Pentium,500,0,135.09
Dell,Notebook,8,1000 HDD,Nvidia,Windows 10,4.42,179863,0,1,Intel Core i7,1000,0,127.34
HP,Notebook,8,256 SSD,Intel,Windows 10,2.5,56253,0,0,Intel Core i3,0,256,106.11
Acer,Notebook,4,1000 HDD,Nvidia,Windows 10,2.23,47823,0,0,Intel Core i3,1000,0,141.21
Acer,Netbook,4,128 SSD,Intel,Windows 10,1.4,38240,0,0,Intel Celeron,0,128,135.09
Asus,Notebook,8,1000 HDD,Intel,Windows 10,2.37,65844,0,0,Intel Core i5,1000,0,141.21
Lenovo,Notebook,8,512 SSD,AMD,No OS,1.5,70240,0,1,Intel Core i7,0,512,157.35
Lenovo,Notebook,8,256 SSD,Nvidia,Windows 10,2.67,183731,0,0,Intel Core i7,0,256,141.21
Asus,Notebook,4,500 HDD,Intel,Windows 10,2.0,26724,0,0,Intel Pentium,500,0,100.45
Acer,Notebook,4,500 HDD,Nvidia,Windows 10,2.2,41229,0,0,Intel Core i3,500,0,100.45
Dell,Notebook,8,2000 HDD,AMD,Windows 10,2.02,66723,0,0,Intel Core i5,2000,0,141.21
HP,Gaming,12,1000 HDD,Nvidia,Windows 10,3.78,149359,0,1,Intel Core i7,1000,0,127.34
Lenovo,Ultrabook,12,256 SSD,Intel,Windows 10,1.4,163336,0,1,Intel Core i7,0,256,209.8
HP,2 in 1 Convertible,8,512 SSD,Intel,Windows 10,1.29,175732,1,1,Intel Core i7,0,512,331.26
HP,Notebook,8,500 HDD,AMD,Windows 10,1.9,101448,0,0,Intel Core i5,500,0,141.21
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.42,161917,1,0,Intel Core i5,0,256,165.63
Asus,Notebook,12,128 SSD +  1000 HDD,Intel,Windows 10,2.06,114195,0,1,Intel Core i7,1000,128,282.42
Dell,Notebook,8,128 SSD,Intel,Windows 10,1.79,65053,0,0,Intel Core i3,0,128,111.94
Dell,Workstation,8,256 SSD,Nvidia,Windows 10,1.78,211687,0,0,Intel Core i7,0,256,141.21
Lenovo,Notebook,8,180 SSD,Intel,Windows 10,1.7,119909,0,0,Intel Core i5,0,180,157.35
Dell,Notebook,8,1000 HDD,AMD,Windows 10,2.2,59339,0,0,Intel Core i5,1000,0,141.21
Toshiba,Notebook,8,256 SSD,Intel,Windows 10,1.05,146985,0,1,Intel Core i5,0,256,165.63
Dell,Notebook,8,512 SSD,Nvidia,Windows 10,2.16,110942,0,1,Intel Core i7,0,512,141.21
Dell,Notebook,4,1000 HDD,Intel,Windows 10,2.18,51568,0,0,Intel Core i3,1000,0,100.45
HP,Notebook,4,128 SSD,Intel,Windows 10,1.49,63822,0,1,Intel Core i5,0,128,165.63
Lenovo,Notebook,4,128 SSD,Intel,Windows 10,2.3,49669,0,0,Intel Core i3,0,128,100.45
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.75,92217,0,1,Intel Core i5,0,256,157.35
Dell,Workstation,16,512 SSD,Nvidia,Windows 10,2.17,205533,0,1,Intel Core i7,0,512,141.21
Dell,Notebook,16,512 SSD,Nvidia,Windows 10,2.06,166941,0,0,Intel Core i7,0,512,141.21
Lenovo,Ultrabook,16,512 SSD,Intel,Windows 10,1.36,158062,0,1,Intel Core i7,0,512,176.23
Asus,Ultrabook,16,512 SSD,Intel,Windows 10,0.91,171424,0,0,Intel Core i7,0,512,176.23
Lenovo,Notebook,8,256 SSD,Nvidia,Windows 10,2.3,88964,0,1,Intel Core i5,0,256,141.21
Toshiba,Ultrabook,32,512 SSD,Intel,Windows 10,1.05,246060,1,0,Intel Core i7,0,512,165.63
Asus,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,1.99,118678,0,0,Intel Core i7,1000,128,141.21
Acer,Notebook,8,1000 HDD,AMD,Windows 10,2.2,50899,0,0,AMD A Series,1000,0,100.45
Asus,Gaming,24,256 SSD +  1000 HDD,Nvidia,Windows 10,4.33,111557,1,1,Intel Core i7,1000,256,127.34
Lenovo,Ultrabook,8,180 SSD,Intel,Windows 10,1.3,96613,0,1,Intel Core i5,0,180,125.37
